EventLog
2023.10.19-18.15.32, 2.432, Player Died.
2023.10.19-18.16.01, 2.483 Seconds Elapsed, Player Died.
2023.10.19-18.41.24, 2.268 Seconds Elapsed, Player Died.
2023.10.19-18.42.17, 18.225 Seconds Elapsed, Player Died.
2023.10.22-21.47.55, 26.445999 Seconds Elapsed, Player Died.
2023.10.22-23.04.26, 62.778999 Seconds Elapsed, Player Died.
2023.10.22-23.08.50, 60.249001 Seconds Elapsed, Player Died.
2023.10.22-23.09.45, 8.955 Seconds Elapsed, Player Died.
2023.10.22-23.10.19, 8.375 Seconds Elapsed, Player Died.
2023.10.22-23.12.44, 9.915 Seconds Elapsed, Player Died.
2023.10.24-14.27.56, 7.654 Seconds Elapsed, Player Died.
2023.10.24-14.28.50, 10.645 Seconds Elapsed, Player Died.
2023.10.24-14.30.56, 4.254 Seconds Elapsed, Player Died.
2023.10.24-14.34.06, 12.999 Seconds Elapsed, Player Died.
2023.10.24-14.34.26, 6.188 Seconds Elapsed, Player Died.
2023.10.24-14.35.01, 7.008 Seconds Elapsed, Player Died.
2023.10.24-14.36.23, 7.203 Seconds Elapsed, Player Died.
2023.10.24-14.37.06, 7.062 Seconds Elapsed, Player Died.
2023.10.24-14.39.14, 3.29 Seconds Elapsed, Player Died.
2023.10.24-14.40.40, 4.467 Seconds Elapsed, Player Died.
2023.10.24-14.42.19, 4.515 Seconds Elapsed, Player Died.
2023.10.24-14.45.36, 13.701 Seconds Elapsed, Player Died.
2023.10.24-14.46.03, 9.706 Seconds Elapsed, Player Died.
2023.10.24-14.51.46, 15.356 Seconds Elapsed, Player Died.
2023.10.24-14.54.48, 23.683001 Seconds Elapsed, Player Died.
2023.10.24-14.55.08, 5.401 Seconds Elapsed, Player Died.
2023.10.24-14.55.30, 6.04 Seconds Elapsed, Player Died.
2023.10.24-14.57.54, 6.336 Seconds Elapsed, Player Died.
2023.10.24-14.58.11, 4.167 Seconds Elapsed, Player Died.
2023.10.24-16.29.40, 17.325001 Seconds Elapsed, Player Died.
2023.10.24-16.32.15, 8.522 Seconds Elapsed, Player Died.
2023.10.24-19.00.14, 12.789 Seconds Elapsed, Player Died.
2023.10.24-21.23.11, 15.691 Seconds Elapsed, Player got to the river
2023.10.24-21.23.27, 32.130001 Seconds Elapsed, Player found the car and won.
2023.10.24-21.38.06, 27.323999 Seconds Elapsed, Player got to the river
2023.10.24-21.38.50, 20.271 Seconds Elapsed, Player got to the river
2023.10.24-22.10.54, 122.813004 Seconds Elapsed, Player got to the river
